path	loc	callables	max_callable_loc	max_parameters
__init__.py	18	0	0	0
channel/__init__.py	10	0	0	0
channel/console.py	95	7	21	2
channel/interface.py	11	1	2	2
channel/registry.py	34	6	7	2
config/__init__.py	15	2	4	1
config/exports.py	100	1	7	2
config/action_policy.py	48	3	8	2
config/base.py	31	0	0	0
config/bootstrap.py	56	3	17	3
config/core.py	468	14	67	4
config/env/__init__.py	13	0	0	0
config/env/registry.py	448	2	2	0
config/env/schema.py	122	5	29	3
config/env/snapshot.py	294	46	13	4
config/env/subprocess.py	50	1	15	2
config/interface.py	29	1	7	4
config/io.py	89	4	19	3
config/manager.py	111	6	37	4
config/mcp.py	714	33	50	2
config/parse.py	216	19	13	2
config/parser/__init__.py	18	0	0	0
config/parser/action.py	99	6	41	2
config/parser/budget.py	122	3	76	2
config/parser/channels.py	52	1	46	1
config/parser/identity.py	68	3	31	1
config/parser/mapping.py	8	1	3	2
config/parser/payload.py	172	3	87	2
config/parser/profiles.py	137	4	75	2
config/parser/providers.py	208	4	20	3
config/parser/runtime.py	347	8	53	1
config/parser/security.py	164	5	80	6
config/parser/storage.py	114	3	50	9
config/paths.py	253	9	47	5
config/providers.py	138	0	0	0
config/runtime/__init__.py	301	4	32	4
config/runtime/capability.py	386	11	45	4
config/runtime/capability_resolution.py	259	8	64	5
config/runtime/profile.py	367	13	95	4
config/runtime/profile_overrides.py	175	9	35	2
config/runtime/reasoning.py	113	4	34	6
config/runtime/telemetry.py	19	0	0	0
config/runtime/tools.py	204	7	63	2
config/settings.py	108	7	17	3
config/skill_selection.py	70	6	15	2
config/tool_selection/__init__.py	25	0	0	0
config/tool_selection/models.py	179	3	63	5
config/tool_selection/normalization.py	42	4	14	1
config/tool_selection/parser.py	158	6	62	3
constants.py	91	0	0	0
debug.py	146	12	20	6
errors/__init__.py	41	0	0	0
errors/adapt.py	149	9	29	7
errors/catalog.py	97	2	9	3
errors/contracts.py	43	2	16	4
generated_paths.py	83	4	28	3
logging.py	258	19	40	4
protocol.py	361	16	65	6
redaction.py	65	4	19	2
runtime/__init__.py	74	0	0	0
runtime/constants.py	20	0	0	0
runtime/interfaces.py	102	11	27	3
runtime/runners.py	232	17	27	3
runtime/sandbox.py	184	7	72	4
time.py	12	2	2	0
types.py	33	2	1	1
user_io.py	35	4	13	5
version.py	6	0	0	0
